Team,Date,Opp,Rslt,plate_app,at_bats,runs_scored,hits,doubles,triples,HR,RBI,bases_on_balls,intentional_bb,strikeouts,hit_by_pitch,sac_hits,sac_flies,reached_on_error,double_plays,stolen_bases,caught_stealing,batting_avg,OBP,SLG,OPS,left_on_base,num_players_used,handedness_opp_pitcher,Opp. Starter (GmeSc),is_away,is_win,made_playoffs,roll_plate_app,roll_at_bats,roll_runs_scored,roll_hits,roll_doubles,roll_triples,roll_HR,roll_RBI,roll_bases_on_balls,roll_intentional_bb,roll_strikeouts,roll_hit_by_pitch,roll_sac_hits,roll_sac_flies,roll_reached_on_error,roll_double_plays,roll_stolen_bases,roll_caught_stealing,roll_batting_avg,roll_OBP,roll_SLG,roll_OPS,roll_left_on_base,roll_num_players_used,roll_is_win
Houston Astros,1-Apr,OAK,"W,8-1",43,33,8,9,3,0,2,7,6,0,5,2,0,2,0,1,0,0,0.273,0.395,0.545,0.941,8,11,R,C.Bassitt(49),1,1,1,43.0,33.0,8.0,9.0,3.0,0.0,2.0,7.0,6.0,0.0,5.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.273,0.395,0.545,0.941,8.0,11.0,1.0
Houston Astros,2-Apr,OAK,"W,9-5",45,40,9,14,4,0,2,8,5,1,11,0,0,0,1,2,0,0,0.315,0.409,0.575,0.984,9,9,L,J.Luzardo(38),1,1,1,44.0,36.5,8.5,11.5,3.5,0.0,2.0,7.5,5.5,0.5,8.0,1.0,0.0,1.0,0.5,1.5,0.0,0.0,0.29400000000000004,0.402,0.56,0.9624999999999999,8.5,10.0,1.0
Houston Astros,3-Apr,OAK,"W,9-1",43,38,9,13,3,0,1,8,2,0,6,2,0,1,0,1,0,0,0.324,0.405,0.55,0.954,7,10,L,C.Irvin(34),1,1,1,43.666666666666664,37.0,8.666666666666666,12.0,3.3333333333333335,0.0,1.6666666666666667,7.666666666666667,4.333333333333333,0.3333333333333333,7.333333333333333,1.3333333333333333,0.0,1.0,0.3333333333333333,1.3333333333333333,0.0,0.0,0.304,0.403,0.5566666666666666,0.9596666666666667,8.0,10.0,1.0
Houston Astros,4-Apr,OAK,"W,9-2",40,36,9,11,2,0,3,9,4,0,5,0,0,0,0,2,0,1,0.32,0.398,0.565,0.962,4,10,L,S.Manaea(33),1,1,1,42.666666666666664,38.0,9.0,12.666666666666666,3.0,0.0,2.0,8.333333333333334,3.6666666666666665,0.3333333333333333,7.333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333,1.6666666666666667,0.0,0.3333333333333333,0.3196666666666667,0.40399999999999997,0.5633333333333334,0.9666666666666667,6.666666666666667,9.666666666666666,1.0
Houston Astros,5-Apr,LAA,"L,6-7",44,39,6,11,1,0,1,5,5,0,9,0,0,0,0,0,0,0,0.312,0.391,0.527,0.918,11,11,L,J.Quintana(36),1,0,1,42.333333333333336,37.666666666666664,8.0,11.666666666666666,2.0,0.0,1.6666666666666667,7.333333333333333,3.6666666666666665,0.0,6.666666666666667,0.6666666666666666,0.0,0.3333333333333333,0.0,1.0,0.0,0.3333333333333333,0.3186666666666667,0.39799999999999996,0.5473333333333333,0.9446666666666667,7.333333333333333,10.333333333333334,0.6666666666666666
Houston Astros,6-Apr,LAA,"W,4-2",36,34,4,7,1,0,3,4,2,0,15,0,0,0,1,1,0,0,0.295,0.371,0.523,0.893,5,10,R,D.Bundy(64),1,1,1,40.0,36.333333333333336,6.333333333333333,9.666666666666666,1.3333333333333333,0.0,2.3333333333333335,6.0,3.6666666666666665,0.0,9.666666666666666,0.0,0.0,0.0,0.3333333333333333,1.0,0.0,0.3333333333333333,0.309,0.38666666666666666,0.5383333333333334,0.9243333333333332,6.666666666666667,10.333333333333334,0.6666666666666666
Houston Astros,8-Apr,OAK,"W,6-2",34,33,6,8,3,0,3,6,1,0,5,0,0,0,1,0,1,0,0.289,0.358,0.534,0.891,4,9,L,C.Irvin(44),0,1,1,38.0,35.333333333333336,5.333333333333333,8.666666666666666,1.6666666666666667,0.0,2.3333333333333335,5.0,2.6666666666666665,0.0,9.666666666666666,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0,0.29866666666666664,0.37333333333333335,0.528,0.9006666666666666,6.666666666666667,10.0,0.6666666666666666
Houston Astros,9-Apr,OAK,"L,2-6",38,34,2,8,1,0,0,2,3,0,6,0,0,1,0,0,0,0,0.282,0.35,0.502,0.852,9,9,L,S.Manaea(59),0,0,1,36.0,33.666666666666664,4.0,7.666666666666667,1.6666666666666667,0.0,2.0,4.0,2.0,0.0,8.666666666666666,0.0,0.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0,0.2886666666666666,0.35966666666666663,0.5196666666666667,0.8786666666666667,6.0,9.333333333333334,0.6666666666666666
Houston Astros,10-Apr,OAK,"L,3-7",36,34,3,9,2,1,1,3,1,0,8,1,0,0,0,2,1,0,0.28,0.345,0.498,0.844,6,9,R,F.Montas(60),0,0,1,36.0,33.666666666666664,3.6666666666666665,8.333333333333334,2.0,0.3333333333333333,1.3333333333333333,3.6666666666666665,1.6666666666666667,0.0,6.333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.0,0.2836666666666667,0.351,0.5113333333333333,0.8623333333333333,6.333333333333333,9.0,0.3333333333333333
Houston Astros,12-Apr,DET,"L,2-6",36,33,2,7,2,0,2,2,2,0,6,1,0,0,0,1,0,0,0.274,0.339,0.494,0.834,7,10,R,C.Mize(72),0,0,1,36.666666666666664,33.666666666666664,2.3333333333333335,8.0,1.6666666666666667,0.3333333333333333,1.0,2.3333333333333335,2.0,0.0,6.666666666666667,0.6666666666666666,0.0,0.3333333333333333,0.0,1.0,0.3333333333333333,0.0,0.2786666666666667,0.3446666666666666,0.498,0.8433333333333333,7.333333333333333,9.333333333333334,0.0
